S&S Hotels and Suites Fresh Graduate & Exp. Job Recruitment (5 Positions) - UPDATED | Hot Nigerian Jobs.
Programme Officer - Trachoma (Kaduna) at Sightsavers Nigeria - 2 Positions | Hot Nigerian Jobs.
Secretary at a Fast Growing Brewery Distribution Company | Hot Nigerian Jobs.
Verite Microfinance Bank Limited Fresh Job Recruitment (3 Positions) - UPDATED | Hot Nigerian Jobs.
African Development Bank Group (AfDB) Fresh Job Recruitment (19 Positions) - UPDATED | Hot Nigerian Jobs.
Unit Managers at a National Health Maintenance Organization (HMO) - Lagos, Abuja, Ibadan, Port-Harcourt, Akure, Enugu and Zaria | Hot Nigerian Jobs.
Customer Care Executive at an IT and Telecommunications Company - Lorache Group | Hot Nigerian Jobs.
Radiographer at Annuciation Specialist Hospital | Hot Nigerian Jobs.
Study in Birmingham City University - Meet BCU Delegate in Lagos, Abuja, Ibadan & Ghana | Hotnigerianjobs.
Chemonics International Fresh Graduate & Exp. Job Recruitment (10 Positions) - UPDATED | Hot Nigerian Jobs.
INTERSOS Nigeria Fresh Job Recruitment (7 Positions) - UPDATED | Hot Nigerian Jobs.
A.G Leventis (Nigeria) Plc Fresh Job Recruitment (7 Positions) | Hot Nigerian Jobs.
HNJobs (Recap): Top Companies Recruiting For Supervisors Last Week! | Hot Nigerian Jobs.
Store Manager at IBFCAlliance Limited | Hot Nigerian Jobs.
Cook at Teclab Management Services Limited | Hot Nigerian Jobs.
Graduate Call Centre Executive at an ICT and Internet Service Provider - Lorache Group | Hot Nigerian Jobs.
Health & Safety/Compliance Officer at the British High Commission (BHC) | Hot Nigerian Jobs.
Contract Manager at Kranite Nigeria Limited | Hot Nigerian Jobs.
Receptionist at Kloverharris Limited  | Hot Nigerian Jobs.
Marketing Executive at Crovation Limited | Hot Nigerian Jobs.
Senior Accountant at Abuja Clinics | Hot Nigerian Jobs.
Direct Sales Agent at Crovation Limited | Hot Nigerian Jobs.
Fresh Graduate Accountant at United Geophysical Nigeria Limited | Hot Nigerian Jobs.
Food Tricycle Sales Service Representatives at the Crave Kitchen  (2 Positions) | Hot Nigerian Jobs.
Assistant Head Chef at the Crave Kitchen | Hot Nigerian Jobs.
Head Chef at the Crave Kitchen  | Hot Nigerian Jobs.
Pastry Chef at Westown Hotels | Hot Nigerian Jobs.
Printer Partner at a Fast Developing Company | Hot Nigerian Jobs.
World Bank Group Recruitment for Senior Transport Specialist | Hot Nigerian Jobs.
Entry-level Sales Associates at Audacious Business Concept Limited | Hot Nigerian Jobs.
Transport and Logistics Officer at United Geophysical Nigeria Limited | Hot Nigerian Jobs.
APM Terminals Terminal Transformation Leader Recruitment | Hot Nigerian Jobs.
Leventis Foundation (Nigeria) Agricultural School One year Training Programme in Modern and Sustainable Agriculture 2017 | Hot Nigerian Jobs.
Machine/Fabrication Supervisor at Nigerian Foundries Limited (NFL) | Hot Nigerian Jobs.
Human Resources Officer at Compovine Technologies Limited | Hot Nigerian Jobs.
Graphic Design Intern at Exolve Technologies Limited | Hot Nigerian Jobs.
Graduate Web Developer (PHP) at Pragmatic Technologies Limited | Hot Nigerian Jobs.
Junior Associate at Osibogun and Partners | Hot Nigerian Jobs.
Chief Operating Officer (COO) at Sustineo Magnus Limited | Hot Nigerian Jobs.
Graduate Procurement Assistant at Save the Children Nigeria | Hot Nigerian Jobs.
Project Manager-STEER at Save the Children Nigeria | Hot Nigerian Jobs.
Driver at the World Health Organization (WHO) | Hot Nigerian Jobs.
Axari Hotel & Suites Fresh Graduate Recruitment | Hot Nigerian Jobs.
Administrative Officers at an Ultra-modem Specialist Hospital | Hot Nigerian Jobs.
Experienced Medical Officers at an Ultra-modem Specialist Hospital | Hot Nigerian Jobs.
Hospital Matron at an Ultra-modem Specialist Hospital | Hot Nigerian Jobs.
Information Technology / Information Management Officer at Western Development Company Limited (WDCL) | Hot Nigerian Jobs.
Graphic Designer at Sumal Foods Limited | Hot Nigerian Jobs.
Secretary at an Ultra-modem Specialist Hospital | Hot Nigerian Jobs.
Technicians (Laboratory) at St. Basil Hospital | Hot Nigerian Jobs.
Graduate Pharmacists at St. Basil Hospital | Hot Nigerian Jobs.
Entry-level Nursing Assistants at St. Basil Hospital | Hot Nigerian Jobs.
Nurses at St. Basil Hospital | Hot Nigerian Jobs.
Assistant Matrons at St. Basil Hospital | Hot Nigerian Jobs.
Matron at St. Basil Hospital | Hot Nigerian Jobs.
Consultants (Critical Care) at St. Basil Hospital | Hot Nigerian Jobs.
Consultants (Anesthesia) at St. Basil Hospital | Hot Nigerian Jobs.
Finance & Admin Officers at St. Basil Hospital | Hot Nigerian Jobs.
Technicians (ECG) at St. Basil Hospital | Hot Nigerian Jobs.
Technicians (Radiology) at St. Basil Hospital | Hot Nigerian Jobs.
Cooks at St. Basil Hospital | Hot Nigerian Jobs.
Security Officer at St. Basil Hospital | Hot Nigerian Jobs.
Sous Chef at Westown Hotels | Hot Nigerian Jobs.
Business Development Manager at a Leading Logistics and Supply Chain Management Company - Stresert Services Limited | Hot Nigerian Jobs.
Client Service Executive at AIICO Insurance Plc | Hot Nigerian Jobs.
Administrative Manager at a Christian Missionary Organization | Hot Nigerian Jobs.
Risk Advisors at Lasaco Assurance Plc | Hot Nigerian Jobs.
Finance Manager - SIDHAS Project at the Association for Reproductive and Family Health (ARFH) | Hot Nigerian Jobs.
Project Accountant - NTBLCP (TB Grant) at the Association for Reproductive and Family Health (ARFH) | Hot Nigerian Jobs.
Radiographer/Sonographers at an Ultra-modem Specialist Hospital | Hot Nigerian Jobs.
Security Commanders at a Reputable Security Company - Lagos, Abuja and Rivers  | Hot Nigerian Jobs.
Consultant -  Anchor Advocacy Project at Save the Children Nigeria | Hot Nigerian Jobs.
Food Security Programme Manager (M/F) at Secours Islamique France | Hot Nigerian Jobs.
WASH Coordinators at Solidarites International (SI) - Abuja/Monguno | Hot Nigerian Jobs.
Cleaner at Dreamfield Farm Resorts | Hot Nigerian Jobs.
Client Relationship Officer at MeritAbode Nigeria Limited | Hot Nigerian Jobs.
Master Electrician at Kranite Nigeria Limited | Hot Nigerian Jobs.
Graduate Commercial Construction Assistant at Kranite Nigeria Limited | Hot Nigerian Jobs.
Painter at Kranite Nigeria Limited | Hot Nigerian Jobs.
Technical Assistant, Sectors and Media at the United Nations Development Programme (UNDP) | Hot Nigerian Jobs.
Technical Assistant, Social Protection & Conditional Grants Scheme at the United Nations Development Programme (UNDP) | Hot Nigerian Jobs.
Technical Assistant, Multilateral Relations and Monitoring & Evaluation at the United Nations Development Programme (UNDP) | Hot Nigerian Jobs.
Draughtsman Engineer at Smartflow Technologies Limited | Hot Nigerian Jobs.
Graduate Direct Sales Executives (DSE) at a Reputable Commercial Bank - Workforce Group | Hot Nigerian Jobs.
Sales Manager - Western Africa at Cargill Nigeria | Hot Nigerian Jobs.
Monitoring and Evaluation Officer at Environmental Development and Family Health Organization (EDFHO) | Hot Nigerian Jobs.
Administrative Assistant at Bincom ICT Solutions | Hot Nigerian Jobs.
Westown Hotel Fresh Job Recruitment (3 Positions) | Hot Nigerian Jobs.
Save the Children Nigeria Fresh Graduate & Exp. Job Recruitment (6 Positions) - UPDATED | Hot Nigerian Jobs.
Marketers at Boton Electric Nigeria Fze | Hot Nigerian Jobs.
Entry-level Case Worker at COOPI Cooperazione Internazionale | Hot Nigerian Jobs.
Protection Officer at COOPI Cooperazione Internazionale | Hot Nigerian Jobs.
Psychosocial Counsellor at COOPI Cooperazione Internazionale | Hot Nigerian Jobs.
Entrepreneurial Public Relations Intern at Excel Corporation | Hot Nigerian Jobs.
Graduate Digital Media and Content Associate at Ochulo | Hot Nigerian Jobs.
Head, Internal Control/Audit at a Reputable Finance Company - DCSL Corporate Services Limited | Hot Nigerian Jobs.
Auditor and Tax Manager at North China Construction Nigeria | Hot Nigerian Jobs.
Finance Manager at North China Construction Nigeria | Hot Nigerian Jobs.
QHSE-S Manager at a Marine, Dredging and Construction Company | Hot Nigerian Jobs.
Research Associate at the International Institute of Tropical Agriculture (IITA) | Hot Nigerian Jobs.
Marketer at Kloverharris Limited | Hot Nigerian Jobs.
Graduate Medical Laboratory Science Intern at the 44 Nigerian Army Reference Hospital, Kaduna (44 NARHK) | Hot Nigerian Jobs.
Graduate Dental House Officers (Internship) at the 68 Nigerian Army Reference Hospital, Yaba (68 NARHY) | Hot Nigerian Jobs.
First Bank of Nigeria Limited Graduate Motion Graphic Designer/Video Animator Intern Recruitment  | Hot Nigerian Jobs.
First Bank of Nigeria Limited Recruitment for Community Manager/Social Media Intern | Hot Nigerian Jobs.
Graduate Medical House Officers (Internship) at the 68 Nigerian Army Reference Hospital, Yaba (68 NARHY) | Hot Nigerian Jobs.
Protection Project Manager, Unicef at COOPI Cooperazione Internazionale | Hot Nigerian Jobs.
Technical Project Manager at Quad Signals Limited | Hot Nigerian Jobs.
House Keeper at Westown Hotels | Hot Nigerian Jobs.
Hotel Manager at Hausse Hospitality | Hot Nigerian Jobs.
School Nurse at Dawn Michaels Primary School | Hot Nigerian Jobs.
Cooperate Sales Officer at Next Gear Homes Limited | Hot Nigerian Jobs.
Graphic Artist at West-Bay Nigeria | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Abuja | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Cross River | Hot Nigerian Jobs.
Digital Marketing Executive at a Reputable Media Firm | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Anambra | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Rivers | Hot Nigerian Jobs.
Child Protection Project Manager, OFDA at COOPI Cooperazione Internazionale | Hot Nigerian Jobs.
Restaurant Supervisor at Bolton White Hotels & Apartments | Hot Nigerian Jobs.
Training & Development Manager at Artee Group | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Plateau | Hot Nigerian Jobs.
Traffic Engineer at an Internationally Reputed Civil Engineering Company - ValueFronteira Limited | Hot Nigerian Jobs.
Business Development/Marketing Executive (Downstream Oil & Gas) at Stresert Services Limited | Hot Nigerian Jobs.
Production Coordinator at Erisco Foods Limited | Hot Nigerian Jobs.
Mechanical and Electrical Generator Technician at Quest Oil and Engineering Services Limited - Nationwide | Hot Nigerian Jobs.
Technical/ Service Manager at Quest Oil and Engineering Services Limited | Hot Nigerian Jobs.
Head of Procurement - FMCG at Hays Nigeria | Hot Nigerian Jobs.
Graduate Dental Therapy Intern at the Military Hospital, Lagos (MHI) | Hot Nigerian Jobs.
Graduate Dental Therapy Intern at the 44 Nigerian Army Reference Hospital, Kaduna (44 NARHK) | Hot Nigerian Jobs.
Graduate Dental Technology Intern at the 44 Nigerian Army Reference Hospital, Kaduna (44 NARHK) | Hot Nigerian Jobs.
Graduate Optometry Intern at the Military Hospital, Lagos (MHI) | Hot Nigerian Jobs.
Graduate Medical Laboratory Science Intern at the 68 Nigerian Army Reference Hospital, Yaba (68 NARHY) | Hot Nigerian Jobs.
Graduate Pharmacy Intern at the Military Hospital, Lagos (MHI) | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Ondo | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Oyo | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Lagos | Hot Nigerian Jobs.
Correspondent at Nigerian NewsDirect Newspaper - Kaduna | Hot Nigerian Jobs.
Correspondent at Nigerian NewsDirect Newspaper - Delta | Hot Nigerian Jobs.
Business Correspondent at Nigerian NewsDirect Newspaper - Lagos | Hot Nigerian Jobs.
Nigerian Army Hospital Massive Fresh Graduate & Mid-level Job Recruitment (22 Positions) | Hot Nigerian Jobs.
Medical Laboratory Scientist at ABUAD Multi-System Hospital | Hot Nigerian Jobs.
Medical Laboratory Technician at ABUAD Multi-System Hospital | Hot Nigerian Jobs.
Graduate Accountant II at ABUAD Multi-System Hospital | Hot Nigerian Jobs.
Graduate Pharmacists at ABUAD Multi-System Hospital | Hot Nigerian Jobs.
Division Manager Strategy and Transaction Support at the African Development Bank Group (AfDB) | Hot Nigerian Jobs.
Sales Executives (Delta) at FADAC Resources (FRS) | Hot Nigerian Jobs.
Sales Executives (Oyo) at FADAC Resources (FRS) | Hot Nigerian Jobs.
Professional Chauffeur/Driver at Patjeda Group | Hot Nigerian Jobs.
Sales Representative at Fastizers Food and Confectionery Limited - Anambra | Hot Nigerian Jobs.
Retail Cashier (Edo) at KC Gaming Networks Limited (Bet9ja) | Hot Nigerian Jobs.
Retail Cashier (Kogi) at KC Gaming Networks Limited (Bet9ja) | Hot Nigerian Jobs.
Female Admin/Sales Executive at Janchine Nigeria Limited | Hot Nigerian Jobs.
Retail Cashier (Imo) at KC Gaming Networks Limited (Bet9ja) | Hot Nigerian Jobs.
Cybersecurity Manager - Risk Assurance Services at PricewaterhouseCooper (PwC) | Hot Nigerian Jobs.
Community Health Officer at Premiere Urgence Internationale (PUI) | Hot Nigerian Jobs.
Female Sales /Accountant at Janchine Nigeria Limited | Hot Nigerian Jobs.
Human Resources & Admin Officer at the Danish Refugee Council (DRC) | Hot Nigerian Jobs.
Head, Corporate Planning at a Leading Nigerian Bank - PricewaterhouseCooper (PwC) | Hot Nigerian Jobs.
Laboratory Attendant at ABUAD Multi-System Hospital | Hot Nigerian Jobs.
Executive Officer at ABUAD Multi-System Hospital | Hot Nigerian Jobs.
Nursing Assistant at ABUAD Multi-System Hospital | Hot Nigerian Jobs.
Administrative Officer II at Abuad Multi-System Hospital | Hot Nigerian Jobs.
Nursing Officers at ABUAD Multi-System Hospital | Hot Nigerian Jobs.
Radiologist II at ABUAD Multi-System Hospital | Hot Nigerian Jobs.
Electrician at Hilton Worldwide | Hot Nigerian Jobs.
AC/Refrigerator Mechanic at Hilton Worldwide | Hot Nigerian Jobs.
News: Kaduna State Government Begins Recruitment of 25,000 Teachers | Hot Nigerian Jobs.
Technical Office Engineer - Expatriate at a Large Construction Company - Adexen Recruitment Agency | Hot Nigerian Jobs.
Customer Service / Credit Control Executive at Bemil Nigeria Limited | Hot Nigerian Jobs.
Graphics & Video Editing Professional at McOlay Concepts International | Hot Nigerian Jobs.
Patrol Inspector at Bemil Nigeria Limited | Hot Nigerian Jobs.
Business Developer Executive at House of H Limited (HoH) | Hot Nigerian Jobs.
Laboratory Scientist at Vitachem | Hot Nigerian Jobs.
Online Customer Service Representative at Vitachem | Hot Nigerian Jobs.
Marketing and Business Development Representative at Vitachem | Hot Nigerian Jobs.
Writer at ActionAid Nigeria | Hot Nigerian Jobs.
Graduate Intern Speechwriter Recruitment at the World Health Organization (WHO) | Hot Nigerian Jobs.
Sun King Store Manager at Greenlight Planet | Hot Nigerian Jobs.
Chef at Simeon's Pivot Resources | Hot Nigerian Jobs.
Health Services Coordinator at Levande Healthcare Limited | Hot Nigerian Jobs.
KC Gaming Networks Limited - Bet9ja Fresh Job Recruitment (8 Positions) | Hot Nigerian Jobs.
Investment Officer at the African Development Bank Group (AfDB) | Hot Nigerian Jobs.
Account Executive at Lorache Group | Hot Nigerian Jobs.
Bar/Restaurant Manager at Simeon's Pivot Resources | Hot Nigerian Jobs.
Outlet Manager at Montaigne Place | Hot Nigerian Jobs.
Field Coordinator at Action Against HungAer | ACF-International - Maiduguri | Hot Nigerian Jobs.
Entry-level Vehicle Inspection Officer at Rovedana Limited | Hot Nigerian Jobs.
Security Guard at Red Eye Security Limited | Hot Nigerian Jobs.
Graphic Artist at Hubmart Stores Limited | Hot Nigerian Jobs.
Ultra Media Solution Limited Fresh Job Recruitment (5 Positions) - UPDATED | Hot Nigerian Jobs.
Hotel House Keeper at Peen Nigeria Limited | Hot Nigerian Jobs.
SBC Capacity-Strengthening and Coordination Consultant at the Johns Hopkins Center for Communication Programs (CCP) | Hot Nigerian Jobs.
Construction Manager at the Alliance for International Medical Action (ALIMA) | Hot Nigerian Jobs.
Business Analyst at a Reputable Company | Hot Nigerian Jobs.
Peen Nigeria Limited Fresh Job Recruitment (6 Positions) - UPDATED | Hot Nigerian Jobs.
Commercial Lawyer at Hamilton Lloyd and Associates | Hot Nigerian Jobs.
Country Finance Manager at ACTED Nigeria - Maiduguri/Abuja | Hot Nigerian Jobs.
Application Manager at Machineyard.com.ng | Hot Nigerian Jobs.
Business Development Officer at a Reputable Law Firm - Bradfield Consulting Limited | Hot Nigerian Jobs.
HNJobs (Recap): Top Companies Recruiting For Officers Last Week! - (Over 100 Positions) | Hot Nigerian Jobs.
African Development Bank Group (AfDB) Fresh Job Recruitment (8 Positions) - UPDATED | Hot Nigerian Jobs.
HNJobs (Recap): Top Internship Job Opportunities Last Week! | Hot Nigerian Jobs.
Litigation Lawyer at Hamilton Lloyd and Associates | Hot Nigerian Jobs.
Office Assistance at Ultra Media Solution Limited | Hot Nigerian Jobs.
Graduate Customer Service Officer at Zerofinance Nigeria | Hot Nigerian Jobs.
Experienced Consultants -Tax and Regulatory Services at Deloitte Nigeria - Abuja, Lagos and Port-Harcourt | Hot Nigerian Jobs.
Head, Internal Control and Audit at SLS Microfinance Bank Limited | Hot Nigerian Jobs.
Chief of Party (COP) at the International Fertilizer Development Center (IFDC) | Hot Nigerian Jobs.
Graduate WASH Technical Assistant at Norwegian Refugee Council (NRC) | Hot Nigerian Jobs.
Business Associates (Sales) at Leadway Assurance Company Limited | Hot Nigerian Jobs.
Deloitte Nigeria Graduate Associate Recruitment - Abuja, Lagos, Port Harcourt-Rivers | Hot Nigerian Jobs.
WASH Technical Officer at the Norwegian Refugee Council (NRC)  | Hot Nigerian Jobs.
Account Manager at Kantar Nigeria | Hot Nigerian Jobs.
COOPI Cooperazione Internazionale Entry-level & Exp. Job Recruitment (11 Positions) - UPDATED | Hot Nigerian Jobs.
Nigerian Air Force (NAF) Graduate House Officers/Interns Recruitment 2018 | Hot Nigerian Jobs.
Nigerian Bottling Company Limited Top On Trade Manager Recruitment | Hot Nigerian Jobs.
Logistics Coordinator at COOPI Cooperazione Internazionale | Hot Nigerian Jobs.
APM Terminals Terminal Transformation Leader Recruitment | Hot Nigerian Jobs.
Commercial Partner Leader at Microsoft Nigeria | Hot Nigerian Jobs.
HR and Admin Manager at Armorsil West Africa | Hot Nigerian Jobs.
Procter & Gamble Plant Technician Internship Programme 2017 | Hot Nigerian Jobs.
Production Coordinator at Erisco Foods Limited | Hot Nigerian Jobs.
Entry-level Marketing and Sales Officer (Luxury Fashion) at W-Holistic Business Solutions | Hot Nigerian Jobs.
Graduate Marketing and Sales Officer (Event Centre) at W-Holistic Business Solutions | Hot Nigerian Jobs.
Registrar at Ebonyi State University | Hot Nigerian Jobs.
Graduate Physiotherapists (Internship) at the Nigerian Air Force (NAF) | Hot Nigerian Jobs.
Graduate Medical Laboratory Scientists (Internship) at the Nigerian Air Force (NAF) | Hot Nigerian Jobs.
Programme Coordinator at COOPI - Cooperazione Internazionale | Hot Nigerian Jobs.
UFR Transportation and Installation Engineer (Expatriate) at Amaiden Energy Nigeria Limited | Hot Nigerian Jobs.
Graduate Pharmacists (Internship) at the Nigerian Air Force (NAF) | Hot Nigerian Jobs.
Project Engineer at Amaiden Energy Nigeria Limited | Hot Nigerian Jobs.
Service Improvement Facilitator at Pact Nigeria - 2 Positions | Hot Nigerian Jobs.
Receptionist/Administrative Officer at a Reputable Marine Services Company - Pivotage Consulting | Hot Nigerian Jobs.
Category Developer at Jumia Nigeria | Hot Nigerian Jobs.
Local Affiliate Manager - Digital Marketing at Jumia Nigeria | Hot Nigerian Jobs.
Senior PHP Developer at Jumia Nigeria | Hot Nigerian Jobs.
Gardeners at BI Com Limited | Hot Nigerian Jobs.
Care Givers at BI Com Limited | Hot Nigerian Jobs.
Action Against Hunger | ACF-International Fresh Job Recruitment (3 Positions) | Hot Nigerian Jobs.
Customer Care Personnel at CarpartsNigeria Automobile Limited | Hot Nigerian Jobs.
Sales Personnel at CarpartsNigeria Automobile Limited | Hot Nigerian Jobs.
Entry-level Distribution Substation Operator at Ibadan Electricity Distribution Company (IBEDC) Plc - Osun | Hot Nigerian Jobs.
Executive Assistant at Maurice Xandra Solutions | Hot Nigerian Jobs.
Sales Engineer at Maurice Xandra Solutions | Hot Nigerian Jobs.
ATM Support Engineer at Tranter IT Infrastructure Services Limited (TITIS) | Hot Nigerian Jobs.
Interns at RES-Q Digital Limited | Hot Nigerian Jobs.
Systems Administrator (ARCA) at Co Creation Hub (CcHUB) | Hot Nigerian Jobs.
Graduate Marketing Officer at Leadway Assurance Company Limited | Hot Nigerian Jobs.
Project Engineer at Beneprojecti Nigeria Limited | Hot Nigerian Jobs.
Entry-level Distribution Substation Operator at Ibadan Electricity Distribution Company (IBEDC) Plc - Ogun | Hot Nigerian Jobs.
Human Resources Coordinator (M/F) at Medecins du Monde | Hot Nigerian Jobs.
Entry-level Sales and Marketing Executives at Holdent International Limited | Hot Nigerian Jobs.
Child Protection (PSS) Specialist at the United Nations Children's Fund (UNICEF) | Hot Nigerian Jobs.
Graduate Help Desk Officer at AB Microfinance Bank Nigeria Limited | Hot Nigerian Jobs.
Medical Director at an International NGO - Management Alternatives Limited | Hot Nigerian Jobs.
Territory Sales Manager, CX/CRM at Oracle Nigeria | Hot Nigerian Jobs.
WASH Consultant - Reduction of Newborn Sepsis Pilot Program at Save the Children Nigeria | Hot Nigerian Jobs.
Quality Control Manager Rigid Plastic (PET&HDPE) at Fadac Resources | Hot Nigerian Jobs.
Ophthalmic Nurse at Ladkem Eye Hospital | Hot Nigerian Jobs.
Air Freight Operation Officer at Cambel Shipping Logistics Service Limited | Hot Nigerian Jobs.
Customer Service & Service Quality Officer at Hausba SmartHomes Limited | Hot Nigerian Jobs.
Graphics/Design Personnel at CarpartsNigeria Automobile Limited | Hot Nigerian Jobs.
CarpartsNigeria Automobile Limited Fresh Job Recruitment (4 Positions) | Hot Nigerian Jobs.
Client Services Executive at a Reputable Financial Institution | Hot Nigerian Jobs.
Quality Control Officers at Coscharis Group Limited | Hot Nigerian Jobs.
Nigerian Navy Housemanship/ Internship Programme 2018 | Hot Nigerian Jobs.
Accountant at a Reputable Financial Institution | Hot Nigerian Jobs.
Plant Manager at the Nigerian Bottling Company Limited | Hot Nigerian Jobs.
Construction Project Manager at a Fully Registered Private Limited Liability Company - Bradfield Consulting Limited | Hot Nigerian Jobs.
Branch Manager at Prestige Assurance Plc | Hot Nigerian Jobs.
Junior Account Manager (Commercial Development Program) at the Dow Chemical Company | Hot Nigerian Jobs.
Grain Elevator Operator at Coscharis Group Limited | Hot Nigerian Jobs.
Transporters Needed at CWAY Group | Hot Nigerian Jobs.
QHSE-S Manager at a Marine, Dredging and Construction Company | Hot Nigerian Jobs.
Health Clinical Officers at the International Rescue Committee (IRC) - 3 Positions | Hot Nigerian Jobs.
Stabilization Center Doctor at the International Rescue Committee (IRC) - 2 Positions | Hot Nigerian Jobs.
Sales Representatives at a Reputable Pharmaceutical Company - Akwa Ibom, Cross River,  Lagos and Ogun | Hot Nigerian Jobs.
Research Officer at a Reputable Financial Institution | Hot Nigerian Jobs.
Health Community Mobilizer at the International Rescue Committee (IRC) - 3 Positions | Hot Nigerian Jobs.
Senior Health Manager at the International Rescue Committee (IRC) | Hot Nigerian Jobs.
International Rescue Committee (IRC) Fresh Job Recruitment (12 Positions) | Hot Nigerian Jobs.
Estate Surveyor at Osas & Oseji Estate Surveyors & Valuers | Hot Nigerian Jobs.
Silo Maintenance Manager at Coscharis Group Limited | Hot Nigerian Jobs.
Human Resource Officer at Deangelo Limited | Hot Nigerian Jobs.
Technical Safety/ HSE Officer at Safety Consultants and Solutions Provider Limited | Hot Nigerian Jobs.
Business/Sales Analyst at Safety Consultants and Solutions Provider Limited | Hot Nigerian Jobs.
NNPC/Total National Merit Scholarship Scheme 2017/2018 - Ends Today (31st October, 2017) | Hot Nigerian Jobs.
Oxfam Nigeria Fresh Job Recruitment (3 Positions)  | Hot Nigerian Jobs.
Leading Automobile Company Fresh Job Vacancies (10 Positions) | Hot Nigerian Jobs.
Coscharis Group Limited Fresh Job Recruitment (18 Positions) | Hot Nigerian Jobs.
Plan International Fresh Job Recruitment (16 Positions) - UPDATED | Hot Nigerian Jobs.
Telecommunications Engineering and Oil & Gas Servicing Company Fresh Graduate & Exp. Job Recruitment (19 Positions) | Hot Nigerian Jobs.
Petronella Nigeria Limited Fresh Job Recruitment (3 Positions) | Hot Nigerian Jobs.
Company Secretary at a Medium Telecommunications Engineering and Oil & Gas Servicing Company | Hot Nigerian Jobs.
Truck Mechanic at a Medium Telecommunications Engineering and Oil & Gas Servicing Company | Hot Nigerian Jobs.
Filling Station Manager at a Medium Telecommunications Engineering and Oil & Gas Servicing Company | Hot Nigerian Jobs.
Group Head, Customer Care at Coscharis Group Limited | Hot Nigerian Jobs.
Workshop Foreman at a Leading Automobile Company  | Hot Nigerian Jobs.
Store Keeper/Procurement Officer at a Medium Telecommunications Engineering and Oil & Gas Servicing Company | Hot Nigerian Jobs.
Security Officer at a Leading Automobile Company  | Hot Nigerian Jobs.
Information Technology (IT) Officer at a Medium Telecommunications Engineering and Oil & Gas Servicing Company | Hot Nigerian Jobs.
Account Officer at a Leading Automobile Company  | Hot Nigerian Jobs.
Monitoring and Evaluation Manager at Plan International | Hot Nigerian Jobs.
Youth Economic Empowerment Advisor at Plan International | Hot Nigerian Jobs.
Dispatch Rider at a Leading Automobile Company  | Hot Nigerian Jobs.
Grant Manager at Plan International | Hot Nigerian Jobs.
Finance Manager or Head of Finance at a Medium Telecommunications Engineering and Oil & Gas Servicing Company | Hot Nigerian Jobs.
SAP Project Manager at an International Pharmaceutical Firm - Aldelia Group | Hot Nigerian Jobs.
Staff Nurse/Midwife at Green Field Health Management Limited | Hot Nigerian Jobs.
Graphic Designer at Nigeria Training Network (NTN) | Hot Nigerian Jobs.
Chief Operating Officer (COO) at a Licensed Indigenous Finance Company - Mario Consulting Limited  | Hot Nigerian Jobs.
Manager (Credit and Products Development) at Mario Consulting Limited  | Hot Nigerian Jobs.
Workshop Driver/ Quality Control at a Leading Automobile Company  | Hot Nigerian Jobs.
Group Sales Officer at Terragon Group | Hot Nigerian Jobs.
Senior Accountant at Infostrategy Technology Nigeria  Limited | Hot Nigerian Jobs.
Presales/Technical Executive at Boch Systems Company Limited (BOCH) | Hot Nigerian Jobs.
Boch Systems Company Limited (BOCH) Fresh Job Recruitment (4 Positions) | Hot Nigerian Jobs.
Graduate Digital Marketer at Monkey Media Limited | Hot Nigerian Jobs.
Human Resources/Administrative Officer at the Center for Public Policy Alternatives (CPPA) | Hot Nigerian Jobs.
Sales Agents at Edubridge Consultants Limited | Hot Nigerian Jobs.
Female Business Development Executive at Infostrategy Technology Nigeria  Limited | Hot Nigerian Jobs.
National Maintenance Coordinator at SOS Children's Villages Nigeria | Hot Nigerian Jobs.
Administrative Coordinator (M/F) at Secours Islamique France (SIF) | Hot Nigerian Jobs.
Sales Representative at NCIL Nigeria Plc | Hot Nigerian Jobs.
Operation Analyst at the African Development Bank Group (AfDB) | Hot Nigerian Jobs.
Bindery Operator at Ysidra Creative Solutions Limited - Nationwide | Hot Nigerian Jobs.
Experience Camp Boss at Petronella Nigeria Limited | Hot Nigerian Jobs.
Printing Press Operator at Ysidra Creative Solutions Limited - Nationwide | Hot Nigerian Jobs.
Call Centre Operator at Candour Consult | Hot Nigerian Jobs.
Kitchen Supervisor at Petronella Nigeria Limited | Hot Nigerian Jobs.
News: Over 21,780 Teacher's Set to Loose their Jobs Over Competence Exam | Hot Nigerian Jobs.
Analyst, Regulatory Reporting at Standard Chartered Bank Nigeria | Hot Nigerian Jobs.
Senior Information Technology Officer at Newgate Medical Services Limited | Hot Nigerian Jobs.
